Country,Pollutant,Variable,Year,Unit,PowerCode,Value
Canada,Particulates (PM2.5),Miscellaneous,2008,Tonnes,Thousands,362.764
Canada,Particulates (PM2.5),Miscellaneous,2009,Tonnes,Thousands,372.505
Canada,Particulates (PM2.5),Miscellaneous,2010,Tonnes,Thousands,373.319
Canada,Particulates (PM2.5),Miscellaneous,2011,Tonnes,Thousands,386.941
Canada,Particulates (PM2.5),Miscellaneous,2012,Tonnes,Thousands,407.491
Canada,Particulates (PM2.5),Miscellaneous,2013,Tonnes,Thousands,415.403
Canada,Particulates (PM2.5),Miscellaneous,2014,Tonnes,Thousands,417.98
Canada,Particulates (PM2.5),Miscellaneous,2015,Tonnes,Thousands,435.821
Canada,Particulates (PM2.5),Miscellaneous,2016,Tonnes,Thousands,437.206
Canada,Particulates (PM2.5),Miscellaneous,2017,Tonnes,Thousands,446.546
Canada,Particulates (PM2.5),Miscellaneous,2018,Tonnes,Thousands,461.312
Canada,Particulates (PM2.5),Miscellaneous,2019,Tonnes,Thousands,463.49
Canada,Particulates (PM2.5),Agriculture,2005,Tonnes,Thousands,451.223
Canada,Particulates (PM2.5),Agriculture,2006,Tonnes,Thousands,431.57
Canada,Particulates (PM2.5),Agriculture,2007,Tonnes,Thousands,417.833
Canada,Particulates (PM2.5),Agriculture,2008,Tonnes,Thousands,404.411
Canada,Particulates (PM2.5),Agriculture,2009,Tonnes,Thousands,391.34
Canada,Particulates (PM2.5),Agriculture,2010,Tonnes,Thousands,378.516
Canada,Particulates (PM2.5),Agriculture,2011,Tonnes,Thousands,365.229
Canada,Particulates (PM2.5),Agriculture,2012,Tonnes,Thousands,368.497
Canada,Particulates (PM2.5),Agriculture,2013,Tonnes,Thousands,370.971
Canada,Particulates (PM2.5),Agriculture,2014,Tonnes,Thousands,374.161
Canada,Particulates (PM2.5),Agriculture,2015,Tonnes,Thousands,377.147
Canada,Particulates (PM2.5),Agriculture,2016,Tonnes,Thousands,379.948
Canada,Particulates (PM2.5),Agriculture,2017,Tonnes,Thousands,382.713
Canada,Particulates (PM2.5),Agriculture,2018,Tonnes,Thousands,385.189
Canada,Particulates (PM2.5),Agriculture,2019,Tonnes,Thousands,387.808
Canada,Particulates (PM2.5),Waste,2005,Tonnes,Thousands,3.862
Canada,Particulates (PM2.5),Waste,2006,Tonnes,Thousands,3.076
Canada,Particulates (PM2.5),Waste,2007,Tonnes,Thousands,2.978
Canada,Particulates (PM2.5),Waste,2008,Tonnes,Thousands,2.882
Canada,Particulates (PM2.5),Waste,2009,Tonnes,Thousands,2.929
Canada,Particulates (PM2.5),Waste,2010,Tonnes,Thousands,2.803
Canada,Particulates (PM2.5),Waste,2011,Tonnes,Thousands,2.704
Canada,Particulates (PM2.5),Waste,2012,Tonnes,Thousands,2.586
Canada,Particulates (PM2.5),Waste,2013,Tonnes,Thousands,2.547
Canada,Particulates (PM2.5),Waste,2014,Tonnes,Thousands,2.538
Canada,Particulates (PM2.5),Waste,2015,Tonnes,Thousands,2.604
Canada,Particulates (PM2.5),Waste,2016,Tonnes,Thousands,2.603
Canada,Particulates (PM2.5),Waste,2017,Tonnes,Thousands,2.635
Canada,Particulates (PM2.5),Waste,2018,Tonnes,Thousands,2.666
Canada,Particulates (PM2.5),Waste,2019,Tonnes,Thousands,2.722
